ID,Year,Location,Topic,Data Type,Data_Value,Category
125947,2012,Nebraska,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,35.4,Male
125979,2012,Nevada,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,40,Male
125955,2012,New Hampshire,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,39.6,Male
125963,2012,New Jersey,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,38,Male
125971,2012,New Mexico,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,37.9,Male
125987,2012,New York,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,43.9,Male
125931,2012,North Carolina,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,49.6,Male
125939,2012,North Dakota,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,41.3,Male
125996,2012,Ohio,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,45.2,Male
126223,2012,Oklahoma,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,47.5,Male
126231,2012,Oregon,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,38.5,Male
126239,2012,Pennsylvania,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,46.2,Male
126247,2012,Puerto Rico,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,50.6,Male
126255,2012,Rhode Island,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,39.4,Male
126263,2012,South Carolina,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,50.8,Male
126272,2012,South Dakota,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,47.6,Male
126280,2012,Tennessee,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,49.5,Male
126288,2012,Texas,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,35.5,Male
126299,2012,Utah,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,31,Male
126323,2012,Vermont,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,39.9,Male
126315,2012,Virgin Islands,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,,Male
126307,2012,Virginia,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,39,Male
126007,2012,Washington,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,31.5,Male
126023,2012,West Virginia,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,68,Male
126015,2012,Wisconsin,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,37.9,Male
126031,2012,Wyoming,Six or more teeth lost among adults aged >= 65 years,Age-adjusted Prevalence,38,Male
